period,link_id,from_node_id,to_node_id,road,direction,street_name,target_origin,target_position_mi,network_length_mi,lanes,capacity,free_speed,link_type,allowed_use,period_volume,primary_mapped_tmc,mapped_tmc_count,primary_map_status,primary_map_confidence,primary_map_distance_to_tmc_ft,bridge_from_tmc,bridge_to_tmc,bridge_path_miles,t2_hour,assignment_status,assignment_tier,assignment_method,assignment_confidence,selected_tmc,left_anchor_tmc,right_anchor_tmc,left_anchor_distance_mi,right_anchor_distance_mi,anchor_gap_mi,propagation_minutes_per_mile,propagation_anchor_count,profile_detection_succeeded,profile_minimum_ratio,profile_coverage,linear_t2_candidate,profile_t2_candidate,t2_source_method,episode_id,source_screened_accepted,daily_probe_day_count,daily_probe_t2_std_hour,selected_map_status,selected_map_confidence,selected_map_distance_to_tmc_ft
MD,38147,40002,36510,VA-612,EASTBOUND,VA 612 - Yates Ford Road,mapped_route_link,2.9174936301369865,0.26,1.0,900.0,83.68568,603.0,sov;hov2;hov3;trk;apv;com,4012.20923,110+56059,1,matched,72.69,494.81,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38148,40002,40628,VA-612,WESTBOUND,VA 612 - Yates Ford Road,mapped_route_link,1.104483493150685,0.28,1.0,900.0,83.68568,603.0,sov;hov2;hov3;trk;apv;com,3557.2124,110-56058,1,matched,72.69,0.0,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38151,40004,34350,US-29,NORTHBOUND,US 29 - Lee Highway,mapped_route_link,9.842350693333334,0.96,1.0,900.0,74.02964,503.0,sov;hov2;hov3;trk;apv;com,2143.4895,110-06801,1,matched,96.29,0.0,,,,13.25,assigned,A_direct,direct_mapped_tmc,medium,110-06801,110-06801,110-06801,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110-06801__MD,False,1,0.0,matched,96.29,0.0
MD,38152,40004,40946,US-29,SOUTHBOUND,US 29 - Lee Highway,mapped_route_link,25.10335544,0.51,1.0,700.0,74.02964,303.0,sov;hov2;hov3;trk;apv;com,1729.98438,110+06802,1,matched,96.52,84.14,,,,14.375,assigned,A_direct,direct_mapped_tmc,high,110+06802,110+06802,110+06802,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110+06802__MD,True,2,0.125,matched,96.52,84.14
MD,38153,40005,40042,VA-641,EASTBOUND,VA 641 - Old Bridge Road,mapped_route_link,3.5464115214285714,0.09,3.0,840.0,74.02964,403.0,sov;hov2;hov3;trk;apv;com,7296.98242,110+13228,2,matched,90.07,0.0,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38155,40005,40703,VA-641,WESTBOUND,VA 641 - Old Bridge Road,mapped_route_link,1.6348027999999997,0.28,2.0,840.0,74.02964,403.0,sov;hov2;hov3;trk;apv;com,6310.35986,110-13227,1,matched,89.77,147.25,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38160,40007,40009,VA-234,SOUTHBOUND,VA 234 - Sudley Road,mapped_route_link,8.678572409090908,0.21,2.0,700.0,74.02964,303.0,sov;hov2;hov3;trk;apv;com,8979.49902,110N13272,1,matched,96.17,0.0,,,,14.5,assigned,A_direct,direct_mapped_tmc,medium,110N13272,110N13272,110N13272,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110N13272__MD,False,1,0.0,matched,96.17,0.0
MD,38162,40007,40799,VA-234,NORTHBOUND,VA 234 - Sudley Road,mapped_route_link,24.003345888888887,0.12,2.0,700.0,74.02964,303.0,sov;hov2;hov3;trk;apv;com,4040.58081,110+13273,1,matched,96.64,20.44,,,,12.0,assigned,A_direct,direct_mapped_tmc,high,110+13273,110+13273,110+13273,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110+13273__MD,False,4,1.3110110602126894,matched,96.64,20.44
MD,38164,40009,40007,VA-234,NORTHBOUND,VA 234 - Sudley Road,mapped_route_link,23.874706999999997,0.21,2.0,700.0,74.02964,303.0,sov;hov2;hov3;trk;apv;com,4710.67822,110P13272,1,matched,93.86,52.52,,,,13.5,assigned,A_direct,direct_mapped_tmc,medium,110P13272,110P13272,110P13272,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110P13272__MD,False,3,0.7359800721939872,matched,93.86,52.52
MD,38166,40009,40111,VA-234-BR,SOUTHBOUND,VA 234 - Sudley Road,mapped_route_link,0.32535749999999997,0.2,2.0,700.0,74.02964,303.0,sov;hov2;hov3;trk;apv;com,10933.61133,110N10075,2,matched,95.94,0.0,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38167,40010,40008,I-66,EASTBOUND,I-66,mapped_route_link,29.180684999999997,0.35,3.0,2000.0,111.04446,301.0,sov;hov2;hov3;trk;apv;com,17594.87695,110N04184,1,matched,97.14,12.55,,,,13.5,assigned,A_direct,direct_mapped_tmc,high,110N04184,110N04184,110N04184,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110N04184__MD,False,2,1.25,matched,97.14,12.55
