episode_id,sensor_uid,tmc_code,corridor,link_id,date,period,t0_hour,t2_hour,t3_hour,P_hr,duration_min,threshold_used,min_speed_mph,mean_speed_mph,episode_demand,demand_capacity_ratio,magnitude,road_order,direction,is_clean_valid_episode,corridor_output,tmc,t2_source_method,daily_probe_day_count,daily_probe_t2_min_hour,daily_probe_t2_max_hour,daily_probe_t2_std_hour,screened_acceptance_share,anchor_t2_hour,anchor_source_method,anchor_episode_id,anchor_daily_probe_day_count,anchor_daily_t2_std_hour,anchor_source_reliable
state_transition__I95_NB::110+04154__Weekday__0008,I95_NB::110+04154,110+04154,I95_NB,3.0,Weekday,AM,6.25,7.25,8.5,2.5,150.0,49.133,33.71931818181818,41.01998473084886,4289.004424028146,2.144502212014073,0.4571172446331681,667.0,NORTHBOUND,True,I95_NB,110+04154,average_weekday,0,,,,1.0,7.25,average_weekday,state_transition__I95_NB::110+04154__Weekday__0008,0.0,,True
daily_probe_mean__110+04154__MD,,110+04154,I95_NB,,DailyMean,MD,12.416666666666666,14.125,15.458333333333334,3.2916666666666665,,,28.206666666666667,,,,,667.0,NORTHBOUND,False,I95_NB,110+04154,daily_probe_mean,6,13.5,14.75,0.42695628191498325,0.8333333333333334,14.1,daily_probe_mean,daily_probe_mean__110+04154__MD,5.0,0.4636809247747852,True
daily_probe_mean__110+04154__PM,,110+04154,I95_NB,,DailyMean,PM,12.75,15.5,16.5,4.0,,,24.72,,,,,667.0,NORTHBOUND,True,I95_NB,110+04154,daily_probe_mean,1,15.5,15.5,0.0,1.0,15.5,daily_probe_mean,daily_probe_mean__110+04154__PM,1.0,0.0,False
state_transition__I95_NB::110+04155__Weekday__0009,I95_NB::110+04155,110+04155,I95_NB,2.0,Weekday,AM,6.0,7.5,8.75,3.0,180.0,48.146,30.22630434782609,37.60317891649414,5319.761799334955,2.6598808996674776,0.5928510295524341,669.0,NORTHBOUND,True,I95_NB,110+04155,average_weekday,0,,,,1.0,7.5,average_weekday,state_transition__I95_NB::110+04155__Weekday__0009,0.0,,True
state_transition__I95_NB::110+04155__Weekday__0010,I95_NB::110+04155,110+04155,I95_NB,2.0,Weekday,MD,12.5,14.5,16.0,3.75,225.0,48.146,41.62717391304348,45.22429594391115,6124.1593669559015,3.062079683477951,0.1566002558947177,669.0,NORTHBOUND,True,I95_NB,110+04155,average_weekday,0,,,,1.0,14.5,average_weekday,state_transition__I95_NB::110+04155__Weekday__0010,0.0,,True
daily_probe_mean__110+04155__PM,,110+04155,I95_NB,,DailyMean,PM,15.857142857142858,17.535714285714285,18.928571428571427,3.3214285714285716,,,23.32,,,,,669.0,NORTHBOUND,False,I95_NB,110+04155,daily_probe_mean,7,16.5,18.75,0.6738557951469002,0.7142857142857143,17.65,daily_probe_mean,daily_probe_mean__110+04155__PM,5.0,0.6041522986797285,True
state_transition__I95_NB::110+04156__Weekday__0011,I95_NB::110+04156,110+04156,I95_NB,1.0,Weekday,AM,5.75,7.5,10.25,4.75,285.0,47.20239999999999,29.24586956521739,38.826199664180216,8797.454327389129,4.398727163694565,0.6139851781373806,671.0,NORTHBOUND,True,I95_NB,110+04156,average_weekday,0,,,,1.0,7.5,average_weekday,state_transition__I95_NB::110+04156__Weekday__0011,0.0,,True
state_transition__I95_NB::110+04156__Weekday__0012,I95_NB::110+04156,110+04156,I95_NB,1.0,Weekday,MD,11.5,14.5,18.5,7.25,435.0,47.20239999999999,37.56545454545455,42.74528249576511,13556.7680941417,6.77838404707085,0.2565374376845259,671.0,NORTHBOUND,True,I95_NB,110+04156,average_weekday,0,,,,1.0,14.5,average_weekday,state_transition__I95_NB::110+04156__Weekday__0012,0.0,,True
daily_probe_mean__110+04156__PM,,110+04156,I95_NB,,DailyMean,PM,12.541666666666666,16.5625,18.333333333333332,6.041666666666667,,,24.4675,,,,,671.0,NORTHBOUND,False,I95_NB,110+04156,daily_probe_mean,12,15.0,18.0,1.0364452469860626,0.3333333333333333,17.0,daily_probe_mean,daily_probe_mean__110+04156__PM,4.0,1.1858541225631423,False
state_transition__I95_NB::110+04157__Weekday__0013,I95_NB::110+04157,110+04157,I95_NB,7.0,Weekday,AM,5.75,7.25,8.75,3.25,195.0,48.0956,40.68065217391304,44.34623607617678,5859.370033941962,3.0838789652326115,0.1822720981558374,673.0,NORTHBOUND,False,I95_NB,110+04157,average_weekday,0,,,,0.0,7.25,daily_probe_mean,daily_probe_mean__110+04157__AM,14.0,0.7791937224739796,True
daily_probe_mean__110+04157__MD,,110+04157,I95_NB,,DailyMean,MD,11.166666666666666,11.944444444444445,12.555555555555555,1.6388888888888888,,,40.65111111111111,,,,,673.0,NORTHBOUND,False,I95_NB,110+04157,daily_probe_mean,9,9.75,14.75,2.094230758330085,0.3333333333333333,11.583333333333334,daily_probe_mean,daily_probe_mean__110+04157__MD,3.0,2.2484562605386733,False
